ID,Título,Data,URL,Conteúdo,Categorias,Palavras-Chaves,É Evento,Tipo do Evento,Data Início Evento,Data Fim Evento,Local do Evento,Horário do Evento,É Pago,Valor do Evento
0,PROGRAME-SE: Dias 25 e 26 tem bazar na Igreja de Coqueiros. E café colonial.,20/04/2026,https://folhadecoqueiros.com.br/programe-se-dias-25-e-26-tem-bazar-na-igreja-de-coqueiros-feira-comeca-as-8h/,"No próximo final de semana, dias 25 e 26, vai ter Feira do Clube das Mães na Igreja Nossa Senhora do Carmo, em Coqueiros. Das 8h até 20h é possível encontrar roupas para adultos e crianças, artesanato para  cozinha, entre outros produtos.
Ao lado do Bazar, também no sábado, dia 25, será oferecido um café colonial a partir das 15h30. Quem quiser reservar o seu convite, pode comprar antecipado a R$ 45,00 com Inez no 99121-7074, ou com a Tati na secretaria da Igreja.
O dinheiro arrecadado será destinado à confecção de enxovais para mães gestantes da comunidade. De acordo com dona Inez, no ano passado foram doados 180 enxovais, além de roupas para pessoas necessitadas.",Comunidade e Sociedade,"Bazar, Café Colonial, Coqueiros, Igreja, Beneficente",TRUE,Feiras e Mercados,25/04/2026,26/04/2026,Igreja Nossa Senhora do Carmo,15:30,TRUE,"R$45,00"
1,Coqueiros é destaque do Jornal ND em matéria sobre o Píer da Praia da Saudade.,18/04/2026,https://folhadecoqueiros.com.br/coqueiros-e-destaque-do-jornal-noticias-do-dia-em-materia-sobre-o-pier-da-praia-da-saudade/,"Moradores cobram da Prefeitura de Florianópolis a reconstrução do Trapiche da Praia da Saudade
.
Na foto Carolina Parucce, Moacir Reis, Elaine Otto, Lisete Contin e Sibyla Loureiro
.
História, cultura e luta dos moradores de Coqueiros em destaque no jornal Notícias do Dia (ND) final de semana, dias 18 e 19 de abril, em reportagem do Jornalista Paulo Clovis Schmitz. Matéria com chamada principal na capa e foto faz um resgate da importância dos balneários do Continente nas décadas de 60 e 70. Entre eles, as praias de Coqueiros – praias da Saudade- do Meio – de Itaguaçu- das Palmeiras – do Bom Abrigo e do Abraão – que tinham no antigo Restaurante Tritão e no então Praia Clube, hoje sede do Clube Doze de Agosto, as melhores festas da região, com artistas nacionais e até clubes de futebol..
A matéria cobra também da prefeitura a reconstrução do Trapiche da Praia da Saudade, equipamento público construído na década de 60 e demolido há três anos. De acordo com ordem de serviço assinada pela Prefeitura de Florianópolis, o novo Píer da Praia da Saudade estaria sendo inaugurado dia 23 de março de 2023, durante as comemorações de aniversário de Florianópolis. No entanto, três se passaram e, até agora, a única parte cumprida pelo executivo municipal foi a demolição.
Moradores estão se questionando o motivo de a obra ter paralisado e qual será o destino do local, já que tem uma pequena ilha onde antes era acessada através do trapiche. Ali, moradores pescavam, contemplavam a natureza e utilizavam o píer para desfrutar de algumas horas de lazer diário.
Abandonado há mais de 20 anos, o trapiche virou abrigo para pessoas em situação de rua, espaço para o consumo de drogas, entre outras atividades ilícitas. Uma das causas do impasse em reconstruir o Trapiche apontada por moradores próximos.
“A insegurança, via de regra, vem acompanhada do abandono de espaços públicos e privados, sem iluminação, sem a presença de pessoas, o que atrai a criminalidade. Sendo assim, um local com boa iluminação e espaço adequado ao lazer, só vem somar na área do entretenimento e na saúde de moradores e visitantes”, coloca a comunidade.
Confira abaixo a reportagem:
CONFIRA OS REGISTROS FEITOS POR VALDIR JÚNIOR (secretário da Pró-Coqueiros)
Acesso à Praia da Saudade se tornou perigoso após a demolição do Trapiche.
Jornalista Paulo Clóvis, do ND (de boné), entrevista moradores: Moacir Reis e Lisete Contin
Durante a entrevista, o “mascote” da Pró-Coqueiros, o Jeremias, resolveu se banhar no mar.",Infraestrutura e Mobilidade,"Coqueiros, Píer Praia Saudade, Florianópolis, Reconstrução, Abandono",FALSE,,,,,,,
2,Atenção: Conselho Comunitário de Capoeiras promove Assembleia Geral Extraordinária.,18/04/2026,https://folhadecoqueiros.com.br/atencao-conselho-comunitario-de-capoeiras-promove-assembleia-geral-extraordinaria/,"Confira o Edital abaixo:
O Presidente do
Conselho Comunitário de Capoeiras
no uso das atribuições que lhe confere o Capítulo 8º Artigo 26º inciso II, alínea “c”, do Estatuto legalmente vigente, convoca todos os associados para Assembleia Geral Extraordinária, a realizar-se na data, horário, local e ordem do dia a seguir:
DATA:
25/05/2026
HORÁRIO:
Primeira chamada as 19h00min, e segunda as 19h30min.Término previsto às 21h00min.
LOCAL:
Sala de Cinema do Edifício Maximus Residence, Rua Santos Saraiva, 1746, Bloco “b”,  – Capoeiras, nesta cidade de Florianópolis, Estado de Santa Catarina.
ORDEM DO DIA:
Ajuste do Estatuto às normas vigentes da Contabilidade.
DO FUNCIONAMENTO DA ASSEMBLEIA:
De acordo com o capítulo 8º artigo 27
º
As Assembleias serão realizadas em primeira convocação com a presença da maioria dos associados e em segunda convocação, meia hora após, com qualquer número. A Assembleia especialmente convocada para este fim, não podendo ela deliberar em primeira convocação, sem a maioria absoluta dos associados ou com menos de 1/3(um terço) dos associados na convocação seguinte, para deliberar sobre a ordem do dia. Ajuste do Estatuto às normas vigentes da Contabilidade. O associado deverá estar portando documento de identidade com foto
Florianópolis, 17 de abril de 2026.
Pedro Fernandes Pereira Filho
Presidente",Comunidade e Sociedade,"Conselho Comunitário,Capoeiras,Assembleia Geral,Estatuto,Contabilidade",TRUE,Reuniões e Gestão Comunitária,25/05/2026,,Capoeiras,,FALSE,"R$0,00"
3,"Brincar estimula a imaginação, o aprendizado e o desenvolvimento infantil.",08/04/2026,https://folhadecoqueiros.com.br/brincar-estimula-a-imaginacao-o-aprendizado-e-o-desenvolvimento-infantil/,"Escola Praia do Riso mantém no projeto pedagógico atividades que garantem conteúdo e direito das crianças de brincar.
Em entrevista à Folha, a professora Cláudia Duwe mostra como vencer o desafio.
O lúdico, muitas vezes, é considerado uma atividade secundária dentro do ambiente escolar. A prioridade sempre recai em conteúdos voltados a muitos saberes: o aluno tem que aprender a ler e a escrever desde cedo, aprender uma segunda língua o mais cedo possível e dominar a tecnologia ainda pequeno. E onde fica a criança e o brincar no meio de tantos compromissos?
Para a Escola Praia do Riso, o brincar faz parte do projeto pedagógico e, portanto, do planejamento escolar de forma equilibrada e intencional. “Há 42 anos, a escola pratica um projeto pautado em alguns princípios. O princípio da participação, tanto das famílias como dos proﬁssionais da educação e das crianças, que normalmente é um grupo deixado à parte”, aponta a professora Cláudia Duwe, do 5º ano.
“Todos os sujeitos têm voz e essa voz não necessariamente vai ser atendida, mas ela deve ser escutada. Sem esquecer, sem dúvida, o princípio do resgate da infância”, completa a professora.
Sendo assim, embora mantenha as disciplinas exigidas no currículo de uma escola de ensino regular, o olhar diante dos alunos se diferencia por conta do respeito às suas necessidades. Um bom exemplo é o cuidado em não reproduzir modelos de adulto, como a obrigação do uso do uniforme e a obrigação de entrar em filas para fazer determinadas tarefas. São movimentos, diz a professora, distantes da necessidade do corpo da criança.
“Crianças têm um corpo em movimento constante. Pesquisas em todo o mundo, principalmente nos países ocidentais mais desenvolvidos, mostram que a criança em atividade aprende muito melhor do que uma criança estática, parada, só no lugar de aluno. Então, isso é fundamental para a Escola”, atesta Cláudia.
DESAFIO
Unir o brincar e o aprender de forma equilibrada e estratégica é o grande desafio da escola, já que a formação dos profissionais está direcionada para o ensino de conteúdos. De acordo com Cláudia, para enfrentar o desafio, é preciso planejar ações de maneira que as crianças estejam contempladas, mas que também estejam em constante aprendizagem. “Esse é o nosso lugar de escola regular de ensino”, explica.
Como professora de 5º ano, Cláudia destaca o seu compromisso de ensinar matérias de Matemática, Língua Portuguesa, Geograﬁa, História e Ciências para crianças de 10 e 11 anos. Mas costuma usar várias formas para conduzir as disciplinas. Como exemplo, cita o corpo humano que é um dos conteúdos de Ciências.
Para envolver os alunos na matéria e não tornar o conteúdo maçante, Cláudia lembra de uma situação na qual sugeriu entrevistas com a família. Como tema, as cicatrizes que cada um carrega no corpo por histórias vividas na infância ou em outros momentos. As crianças, então, se tornam repórteres, formulam as perguntas e, no final, criam um texto e transformam em notícia.
“Se eu fosse usar um livro para dizer: agora vamos estudar texto literário, simplesmente isso perderia o encanto. Como eles são os repórteres da ação, ﬁca muito diferente. E contam histórias belíssimas das cicatrizes das suas famílias, de quando eram crianças”, comenta.
Com certeza, tal assunto acaba aproximando a relação familiar, já que as crianças escutam fatos que pais e mães possivelmente esqueceram de relatar: que pularam uma cerca de arame farpado para fugir da avó, por exemplo, entre outras tantas histórias. “Então, todos os conteúdos trazem em si, potencialmente, uma aproximação com as crianças, desde que a gente, no planejamento, intencione fazer”, coloca Cláudia.
CORAÇÃO DA ESCOLA
E como estímulo à imaginação, ao aprendizado e ao desenvolvimento das crianças, está o pátio da escola. Considerado uma extensão das salas de aula, o pátio é um aliado do planejamento pedagógico. Ali, as crianças brincam, sobem em árvores, tocam o pé na terra, brincam com água. E tudo isso estimula o cérebro e ativa nas crianças outras vivências que a chamada vida moderna tem impedido de acontecer. Já temos muitas pesquisas, em nível mundial, afirmando que a falta de tais vivências prejudica o desenvolvimento integral das crianças.
“Muitas das nossas crianças, hoje, mesmo aqui em Florianópolis, não colocam o pé no chão. Estão constantemente no piso com assoalho ou com calçado ou em grama sintética. Então, a gente tem aqui no chão da escola, literalmente, toda essa condição de fazer essas crianças voltarem àquilo que é quase ancestral da nossa espécie”, comenta Cláudia.
Um bom exemplo, citado pela professora, é uma conclusão feita por pesquisadores estadunidenses que mostra que o envolvimento das crianças com a aprendizagem é maior e melhor quando elas têm a oportunidade de brincar em contato com a natureza.
Para tanto, uma escola de lá organizou no seu currículo diário um abraço a uma árvore, uma atitude extremamente simples, mas quando se pensa no contexto de algumas cidades, encontrar uma árvore já não é tão fácil. “Aí, quando eu me remeto ao pátio da Praia do Riso e lendo aquela reportagem, pensei: que pena deles, porque nós temos todas elas aqui”, ressalta Cláudia.
NOVOS BRINQUEDOS
No começo do ano letivo, o pátio da escola ganhou nova modelagem, um desejo das famílias de querer oferecer mais brincadeiras. Então a criançada, quando chegou de férias, encontrou o espaço mais convidativo. Tem corda, tem madeira, mas não tem tanto plástico, que é um princípio importante da Escola.
Planejar os novos brinquedos exigiu muitos desafios, aponta Cláudia, pois, segundo ela, vive-se, hoje, uma dualidade de proteção excessiva das crianças. “Quando trouxeram ideias de brinquedos, algumas professoras já diziam isso aí é perigoso. Não, isso aí é muito alto. Uma outra família dizia, será que isso aí é seguro?”.
Mas, para a escola, é necessário colocar as crianças no chamado risco calculado. “Se não aprender a sentir medo e controle do seu próprio medo quando criança, vai ter que viver isso em parque temático”, diz, ao completar:
“Então, a gente entende que as crianças precisam tirar os dois pezinhos do chão, precisam se enxergar diante de desafios, mas com segurança, gradativamente, respeitando as idades. É esse tipo de escola que temos aqui, com esse pátio ampliado, com brinquedos projetados, com profissionais em constante formação para que não sejamos adultos que atendem demandas, mas sim que provoquemos novas respostas para novos desafios. E o melhor: em meio à natureza”, avalia Cláudia.
Editora da Folha de Coqueiros, jornalista Sibyla Loureiro, e professora Cláudia Duwe, do  5º ano.
Fotos: Trento Froes
Texto: Sibyla Loureiro
Confira abaixo a entrevista completa:
https://www.youtube.com/watch?v=7T8wSzxJRU0
Conheça os novos brinquedos. Acesse
APPR começa o ano letivo com novidades. Escola ganha novos brinquedos no pátio.",Educação,"brincar, aprendizado, desenvolvimento infantil, escola, pedagógico",FALSE,,,,,,,
4,Pesquisa revela: 93% dos moradores exigem a reconstrução do Trapiche da Praia da Saudade.,07/04/2026,https://folhadecoqueiros.com.br/pesquisa-revela-93-dos-moradores-exigem-a-reconstrucao-do-trapiche-da-praia-da-saudade/,"Um movimento que nasceu da indignação e da necessidade de revitalização urbana acaba de ganhar um peso estatístico incontestável. Em menos de um mês, o Trapichômetro (
Nosso Trapiche — Memorial Digital e Cobrança
), já mostrou o desejo da população em reconstruir o Píer da Praia da Saudade, em Coqueiros. É o que aponta o resultado parcial da pesquisa comunitária lançada no dia 23 de março, dia do aniversário da cidade: das 107 pessoas que participaram até agora da consulta pública,
93,5% são favoráveis ao projeto.
É um consenso quase absoluto.
O levantamento traça um perfil claro de quem está por trás da cobrança: a demanda é liderada por quem vive o bairro:
88,8% dos apoiadores são moradores fixos de Coqueiros
, seguidos por frequentadores assíduos (5,6%).
Mais que uma obra, um resgate da qualidade de vida
Para os moradores, o trapiche não é apenas uma estrutura de madeira, mas um equipamento vital para a saúde social do bairro. Quando questionados sobre o uso pretendido após a entrega, os números impressionam:
96,3%
pretendem usar o espaço para
Lazer e Contemplação
;
35,5%
acreditam que o local impulsionará o
Turismo
na região;
18,7%
planejam utilizar a estrutura para
Atividades Esportivas
.
O fator político: Olho em 2026
A pesquisa também mergulhou na temperatura política do bairro, enviando um recado direto aos parlamentares. Com a proximidade das eleições de 2026, os moradores demonstraram estar atentos a quem abraça as causas de Coqueiros.
O recado é claro: o apoio à reconstrução do trapiche pode ser o divisor de águas para consolidar ou transferir esse capital político. Para os moradores, o “apadrinhamento” desta obra será um critério de avaliação rigoroso nas próximas urnas.
Além do lazer, a comunidade argumenta que a revitalização trará mais segurança, iluminando áreas hoje abandonadas e devolvendo o espaço às famílias. Enquanto a obra não sai, a campanha
“Cadê o meu Trapiche?”
segue ganhando força nas redes sociais e nas janelas dos prédios de Coqueiros.
Destaques da Pesquisa:
Aprovação:
93,5%
Público:
88,8% são moradores do bairro.
Uso principal:
96,3% Lazer e contemplação.
Mobilização:
93,5% dos moradores declaram-se “altamente interessados” e vigilantes quanto à execução do projeto.
Fonte: Marcelo Santos – Analista de IA
Nosso Trapiche — Memorial Digital e Cobrança
Conheça a História do Trapiche da Praia da Saudade
Comunidade de Coqueiros lança o site Trapichômetro. Veja como participar.
Campanha “Cadê o Nosso Trapiche” quer a reconstrução do píer e acesso à Praia da Saudade.",Infraestrutura e Mobilidade,"Trapiche da Saudade, Coqueiros, Reconstrução, Pesquisa Comunitária, Eleições 2026",FALSE,,,,,,,
5,Serviço de Personal Trainer para Condomínios: confira os benefícios.,05/04/2026,https://folhadecoqueiros.com.br/servico-de-personal-trainer-para-condominios-confira-abaixo-os-beneficios/,"Leve mais saúde, qualidade de vida e comodidade para a sua rotina sem sair do seu condomínio.
Profissional de Educação Física, formado desde 2020, com mais de seis anos de atuação na área, André Machado está oferecendo um serviço diferenciado. Trata-se de atendimento personalizado voltado às necessidades individuais de cada aluno. O trabalho é com treinamento de força em equipamentos e treinamento funcional, com foco em emagrecimento, melhora de dores, condicionamento físico e promoção da qualidade de vida.
Com modelo exclusivo de atendimento para condomínios, as turmas são reduzidas de no máximo três alunos (moradores) por horário. Os treinos podem ser realizados de forma individualizada ou em pequenos grupos, sempre respeitando o nível, os objetivos e as limitações de cada participante.
O serviço é realizado dentro do próprio condomínio, proporcionando praticidade, segurança e conforto, com horários previamente agendados e acompanhamento profissional qualificado. Todo o trabalho é realizado com responsabilidade, organização e documentação regularizada.
Invista na sua saúde com a comodidade de treinar no seu próprio ambiente, com atenção especializada e um acompanhamento próximo e eficiente.
Para mais informações e agendamentos, entre em contato.
André Machado
Personal Trainer
@personal.amachado",Economia e Negócios,"Personal trainer, condomínios, saúde, treinamento funcional, qualidade de vida",FALSE,,,,,,,
6,"Domingo tem gastronomia, artesanato e literatura no Parque de Coqueiros.",04/04/2026,https://folhadecoqueiros.com.br/domingo-tem-gastronomia-artesanato-e-literatura-e-no-parque-de-coqueiros/,"A tradicional Feira do Parque de Coqueiros traz neste domingo de Páscoa, dia 5 de abril,- além do artesanato e gastronomia, o Literatura na Praça. Confira as atrações:
Programação
13h
Abertura Literatura na Praça com Lina Veira trazendo a importância  da leitura e escrita. Na compra de um livro autoral, + um livro surpresa de brinde.
14h
Oficina e atividades da obra “As ovelhinhas do Rê”
14h30
Chegada da Dona Coelha no Parque e interações com as crianças, 🐰
16h
Lançamento do livro: “Jojô a Joaninha diferente”, com a autora Regina Teixeira. Contação da história para as crianças e momento de autógrafos.🖍
17h
Sônia Wilke  deixa uma linda  mensagem da obra: Pequenas Cerimônias  de gratidão.
Livre para todas as idades
Exposição das obras
de Lina Veira, Sônia  Wilke e Luís  Renato. Além da Biblioteca móvel.","Cultura, Eventos e Gastronomia","feira, gastronomia, artesanato, literatura, parque",TRUE,Feiras e Mercados,05/04/2026,,Parque de Coqueiros,14:30,FALSE,"R$0,00"
7,"Sexta-feira Santa é dia de colher macela, planta conhecida pelo uso medicinal.",01/04/2026,https://folhadecoqueiros.com.br/sexta-feira-santa-e-dia-de-colher-marcela-planta-conhecida-pelo-uso-medicinal/,"No próximo dia 3 de abril é dia de colher macela, planta medicinal símbolo do Rio Grande do Sul. De nome científico
Achyrocline satureoides
, macela ou marcela é nativa da região e foi instituída por lei estadual em 2002. Muito utilizada para fins medicinais e culturalmente colhida na Sexta-feira Santa, é reconhecida popularmente e cientificamente por suas propriedades anti-inflamatórias, calmantes e digestivas. É comum também o uso de travesseiros com flores de marcela e o consumo em infusões.
Especialista em plantas medicinais, Alésio Dos Passos Santos mostra o ritual da colheita, sua importância na flora brasileira e a necessidade de sua preservação. Segundo ele, a planta encontra-se em extinção por conta da redução de seu habitat natural devido ao avanço urbano e uso de agrotóxicos. Confira abaixo o artigo do ambientalista.
RITUAL DA COLHEITA DA MACELA
Colhida na Sexta-feira Santa, antes do sol nascer, quem colhe leva o orvalho do céu da Sexta-Feira Santa para casa, junto com a macela para ela ficar mais santa do que é. Nesta época, com certeza, aumenta o poder de cura, pois ela está no auge de princípios ativos.
Esse ritual acontece nos três estados do Sul do Brasil. E nesse dia a comunidade ainda pega água de riachos – aonde a água é pura – e leva para a casa, pois ela protege a residência de todos os males. Na região litorânea, além da água do mar para derramar em volta da casa, os descendentes de açorianos tomam um banho de mar na Sexta-feira Santa para abençoar o corpo e lavar a alma.
Planta em extinção, principalmente no litoral, por causa do avanço das cidades e capinas com herbicidas, no interior, no entanto, ainda aparece na beira de estradas. Temos que ter cultivo para agregar renda à agricultura e vender nas feiras orgânicas, e também para ter no nosso pronto socorro de plantas medicinais.
USO TRADICIONAL
As flores da macela são muito usadas para o enchimento de travesseiros, já que o aroma acalma e induz ao sono. Travesseiro com cheirinho medicinal, principalmente para as crianças terem uma boa noite de sono, com a macela colhida na Sexta-feira Santa.
O uso medicinal mais usado é digestivo, estomacal, calmante, antidiarréica, anti-espasmódica, relaxante muscular, hipoglicemiantes. Combate o triglicerídeos e colesterol ruim (LDL), evita a ação dos radicais livres, que é o envelhecimento celular, evitando muitas doenças inflamatórias.
“Então vamos preservar e colher macela na Sexta-feira Santa para provar essa nossa cultura. Também podemos pensar em ter um cultivo comercial dessa importante planta medicinal, pois a venda tem boa aceitação para a população das cidades. Deus o maior dos jardineiros, plantou a macela. Pode-se dizer, portanto, que é um remédio de Deus.
Podemos usar ainda na gastronomia, o caldo de macela. Trata-se de uma planta segura, tem eficácia e segurança comprovada no uso popular.
Mas antes de usar qualquer planta devemos consultar um profissional conhecedor de plantas medicinais.
ONDE COMPRAR EM FLORIANÓPOLIS:
Perto da Igreja São Francisco, centro da cidade, com os indígenas.
CURRÍCULO DO ESPECIALISTA
Alésio Dos Passos Santos
– Graduado em Licenciatura Plena em Estudos Sociais UDESC;
– Especialista em Plantas Medicinais, Faculdade Bagozzi Curitiba;
– Foi professor de Naturologia da UNISUL;
– Ministra aulas na cadeira optativa de Plantas Medicinais UFSC, professor convidado;
– Foi Professor Técnico de Enfermagem da Escola Técnica Advance;
– Representou a ALESC por dois anos, no Conselho Estadual de Alimentação Escolar;
– Trabalha na capacitação de Profissionais de Saúde;
– Professor palestrante, cultivo de de plantas medicinais e PANCs;
– Autor coordenador do Projeto Farmácia Viva Itinerante, visitando mais de 200 municípios só em Santa Catarina, alguns voltando diversas vezes;
– Possui uma coleção de mais de 700 plantas medicinais e PANCs.
– Ambientalista
COMPANHEIRA
Cléa Bregue Daniel
Gastrônoma, formada pela UNIVALE, trabalha com reaproveitamento total de alimentos orgânicos, e PANCs.",Meio Ambiente,"macela, Sexta-feira Santa, plantas medicinais, cultura popular, preservação",FALSE,,,,,,,
8,Páscoa Manjerona Cozinha: Sabor e Praticidade na sua Mesa! Confira o cardápio.,27/03/2026,https://folhadecoqueiros.com.br/pascoa-manjerona-cozinha-sabor-e-praticidade-na-sua-mesa/,"A Páscoa está chegando e queremos que seu único trabalho seja aproveitar o momento com quem você ama. Preparamos um cardápio especial de pratos prontos (congelados e resfriados) com aquele tempero de “comida de verdade” que você já conhece.
Destaques do nosso Cardápio de Páscoa:
Bacalhoada Especial de Páscoa:
Lombo de bacalhau premium, batatas, azeitonas, pimentões coloridos e muito azeite de oliva extra virgem.
Risotto de Camarão:
Cremoso,
finalizado com ingredientes selecionados e camarões limpos e suculentos.
Gnocci recheado de Costela ao Molho Pomodoro:
Massa leve feita na casa com molho de tomates frescos.
Torta de Maracujá com Chocolate ou Torta de Limão com Chocolate:
O novo clássico nas sobremesas dos seus almoços de família!
Encomendas de Ovos de Páscoa Abertas!
Lembramos que nossas encomendas de Ovos de Páscoa Artesanais já estão a todo vapor! Não deixe para a última hora: você já pode garantir o seu e assegurar essas doçuras exclusivas para sua celebração. Temos também opções a pronta entrega!
Entre para o nosso Grupo VIP!
Quer receber o cardápio completo, valores e garantir sua reserva antecipada? Participe do nosso grupo exclusivo para clientes no WhatsApp e não perca os prazos de encomenda:
https://chat.whatsapp.com/EauMcxMczgf37nLgUdWcAy?mode=gi_t
CONFIRA OS CARDÁPIOS DE PÁSCOA ABAIXO","Cultura, Eventos e Gastronomia","Páscoa, Manjerona Cozinha, cardápio, comida pronta, ovos de Páscoa",FALSE,,,,,,,
9,"Campanha de vacinação contra a gripe começa neste sábado, dia 28, em Florianópolis.",26/03/2026,https://folhadecoqueiros.com.br/campanha-de-vacinacao-contra-a-gripe-comeca-neste-sabado-dia-28-em-florianopolis/,"No Continente, oito unidades de saúde estarão abertas das 8h às 17h, menos do Balneário que encerra às 14h. Divulgação foi feita em reunião do Conselho Local de Saúde nesta quinta-feira, dia 26
(foto).
A Prefeitura de Florianópolis promove neste sábado, 28, o “Dia D” de vacinação contra a Influenza. A exemplo dos demais pontos de atendimento da Capital, o Centro de Saúde de Coqueiros estará aberto das 8h às 17h. Com exceção do Balneário, que vai funcionar das 8h às 14h.
Para quem mora no Continente e faz parte dos grupos prioritários, as demais unidades abertas são: Vila Aparecida, Jardim Atlântico, Capoeiras, Abraão, Monte Cristo e Estreito.
Grupos prioritários
: idosos com mais de 60 anos; crianças menores de 6 anos, gestantes, caminhoneiros, povos indígenas, PCDs, professores e trabalhadores de saúde.
De acordo com a coordenadora da unidade de Coqueiros, Raquel Siqueira, pessoas com mobilidade reduzida ou acamadas poderão ser vacinadas em domicílio mediante agendamento ou até mesmo no próprio veículo ao comparecerem ao Centro de Saúde.
Embora a Campanha continue até 30 de maio, Raquel aconselha os usuários a aproveitarem o “Dia D” de vacinação, pois as salas do Centro de Saúde de Coqueiros serão ampliadas para atender ao público. “Já nos dias de semana, haverá apenas uma sala, o que gera mais tempo de espera”, esclarece.
CONFIRA OS DEMAIS GRUPOS PRIORITÁRIOS
A vacinação também será ofertada para os demais grupos: puérperas, quilombolas, pessoas em situação de rua, profissionais das forças de segurança, salvamento e forças armadas, pessoas com deficiência permanente, indivíduos com doenças crônicas ou condições especiais, trabalhadores portuários, dos correios e do transporte coletivo urbano e de longa distância, além da população privada de liberdade, funcionários do sistema prisional e jovens de 12 a 21 anos em medidas socioeducativas.
DOCUMENTOS IMPORTANTES
Para receber a vacina
, os integrantes dos grupos prioritários (crianças menores de 6 anos, gestantes e idosos com 60 anos ou mais) devem apresentar documento com foto e carteira de vacinação.
As mulheres puérperas
precisam comprovar a condição por meio de documentos como certidão de nascimento, cartão da gestante ou registro do hospital onde ocorreu o parto.
Já os trabalhadores da saúde,
professores, profissionais das forças de segurança, salvamento e forças armadas devem apresentar comprovante de vínculo.
Enquanto os caminhoneiros
, trabalhadores portuários, dos Correios e do transporte coletivo urbano e de longa distância precisam comprovar o exercício da função.
META DE COBERTURA
A ação, conjunta do Ministério da SaÚde, Governo do Estado de Santa Catarina e Secretaria Municipal de Saúde, também contempla a atualização da carteira vacinal. O secretário de Saúde, Almir Gentil, destaca que a vacinação é a principal forma de prevenir casos graves da doença.
Florianópolis recebeu 16 mil doses do imunizante contra Influenza, e segundo o secretário, a meta é alcançar pelo menos 90% de cobertura entre os grupos prioritários, ampliando a proteção da população mais vulnerável antes da propagação do vírus.",Saúde e Bem-estar,"vacinação, gripe, Florianópolis, saúde, Coqueiros",TRUE,Saúde e Meio Ambiente,28/03/2026,,Centro de Saúde de Coqueiros,17:00,FALSE,"R$0,00"
